t,c_hash,c_olap_mode,c_pgc,c_todo,c_wal_variant,c_graveyard,c_wal_io_hack,c_wal_fsync,c_wal_rfa,c_mv,c_wal,c_btree_hints,c_smt,c_history_tree_inserts,c_worker_threads,c_pp_threads,c_bulk_insert,tpcc_threads,c_wal_log_writers,c_tag,c_isolation_level,c_ssd_gib,run_until_tx,ch_a_start_delay_sec,c_zipf_factor,c_btree_prefix_compression,c_pin_threads,ch_a_process_delay_sec,ch_a_query,c_vi_fat_tuple_alternative,c_target_gib,ch_a_threads,tpcc_warehouse_affinity,ch_a_rounds,c_xmerge,tpcc_warehouse_count,c_vi,c_xmerge_target_pct,c_free_pct,c_partition_bits,c_vi_fat_tuple,c_dram_gib,c_run_for_seconds,c_nc_reallocation,c_xmerge_k,c_contention_split,c_cm_update_on,c_cm_period,c_wal_tuple_rfa,c_btree_heads,c_cm_slowpath_threshold
0,11327061893118909317,1,1,1,0,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,3,1,80.0,1,6,0,1.0,10,0,5,1,7,14,1,1,1
1,11327061893118909317,1,1,1,0,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,3,1,80.0,1,6,0,1.0,10,0,5,1,7,14,1,1,1
2,11327061893118909317,1,1,1,0,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,3,1,80.0,1,6,0,1.0,10,0,5,1,7,14,1,1,1
3,11327061893118909317,1,1,1,0,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,3,1,80.0,1,6,0,1.0,10,0,5,1,7,14,1,1,1
4,11327061893118909317,1,1,1,0,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,3,1,80.0,1,6,0,1.0,10,0,5,1,7,14,1,1,1
5,11327061893118909317,1,1,1,0,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,3,1,80.0,1,6,0,1.0,10,0,5,1,7,14,1,1,1
6,11327061893118909317,1,1,1,0,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,3,1,80.0,1,6,0,1.0,10,0,5,1,7,14,1,1,1
7,11327061893118909317,1,1,1,0,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,3,1,80.0,1,6,0,1.0,10,0,5,1,7,14,1,1,1
8,11327061893118909317,1,1,1,0,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,3,1,80.0,1,6,0,1.0,10,0,5,1,7,14,1,1,1
9,11327061893118909317,1,1,1,0,1,1,0,1,1,1,1,1,1,10,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,3,1,80.0,1,6,0,1.0,10,0,5,1,7,14,1,1,1
0,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
1,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
2,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
3,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
4,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
5,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
6,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
7,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
8,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
9,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
10,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
11,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
12,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
13,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
14,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
15,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
16,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
17,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
18,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
19,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
20,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
21,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
22,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
23,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
24,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
25,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
26,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
27,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
28,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
29,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
30,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
31,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
32,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
33,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
34,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
35,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
36,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
37,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
38,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
39,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
40,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
41,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
42,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
43,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
44,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
45,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
46,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
47,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
48,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
49,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
50,6162824087970043652,1,1,1,0,1,1,0,1,1,1,1,1,1,4,16,0,0,1,,si,1700.0,0,0,0.0,1,0,0,2,0,0.0,0,0,1,1,4,1,80.0,1,6,0,1.0,120,0,5,1,7,14,1,1,1
