t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,11327061893118909317,0,0,0,0,0,0,0,0,0,0,0,58,0.0,0,0,0.0,100.0,0,0,0,0,1,0,1,0,0,0.0,0,0,0.4,0,-nan,0.4,0,953,0,-nan,0,5347,0.0,0,0
1,11327061893118909317,0,0,0,0,0,0,0,0,0,0,0,17660,0.0,0,0,0.0,100.0,0,0,0,0,2108,0,501,0,0,0.0,0,0,0.1,0,-nan,0.1,0,59699,560841,-nan,0,2,0.0,0,0
2,11327061893118909317,0,0,0,0,0,0,0,0,0,0,0,11672,0.0,0,0,0.1,99.9,0,0,0,0,54341,0,1102,0,0,0.0,0,0,0.1,0,-nan,0.1,0,34261,408544,-nan,0,2,0.0,0,0
3,11327061893118909317,0,0,0,0,0,0,0,0,0,0,0,9044,0.0,0,0,0.1,99.9,0,0,0,0,21270,0,789,0,0,0.0,0,0,0.0,0,-nan,0.1,0,30615,280801,-nan,0,1,0.0,0,0
4,11327061893118909317,0,0,0,0,0,0,0,0,0,0,0,10003,0.0,0,0,0.1,99.9,0,0,0,0,54498,0,742,0,0,0.0,0,0,0.1,0,-nan,0.1,0,35881,400916,-nan,0,2,0.0,0,0
5,11327061893118909317,0,0,0,0,0,0,0,0,0,0,0,11830,0.0,0,0,0.3,99.7,0,0,0,0,14698,0,119,0,0,0.0,0,0,0.1,0,-nan,0.1,0,37377,214737,-nan,0,1,0.0,0,0
6,11327061893118909317,0,0,0,0,0,0,0,0,0,0,0,4571,0.0,0,0,0.1,99.9,0,0,0,0,30951,0,75,0,0,0.0,0,0,0.0,0,-nan,0.0,0,22842,211579,-nan,0,1,0.0,0,0
7,11327061893118909317,0,0,0,0,0,0,0,0,0,0,0,7175,0.0,0,0,0.1,99.9,0,0,0,0,14315,0,83,0,0,0.0,0,0,0.1,0,-nan,0.0,0,24413,239612,-nan,0,1,0.0,0,0
8,11327061893118909317,0,0,0,0,0,0,0,0,0,0,0,10895,0.0,0,0,0.1,99.9,0,0,0,0,47256,0,557,0,0,0.0,0,0,0.1,0,-nan,0.1,0,37206,394016,-nan,0,2,0.0,0,0
9,11327061893118909317,0,0,0,0,0,0,0,0,0,0,0,11915,0.0,0,0,0.1,99.9,0,0,0,0,32337,0,429,0,0,0.0,0,0,0.0,0,-nan,0.1,0,36460,331027,-nan,0,1,0.0,0,0
0,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,43,0.0,0,0,0.0,100.0,0,0,0,0,1,0,1,0,0,0.0,0,0,0.5,0,-nan,0.5,0,535,6183,-nan,0,2494,0.0,0,0
1,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,2227,0.0,0,0,0.0,100.0,0,0,0,0,8863,0,453,0,0,0.0,0,0,0.0,0,-nan,0.0,0,20383,113498,-nan,0,2,0.0,0,0
2,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,2664,0.0,0,0,0.1,99.9,0,0,0,0,36212,0,2178,0,0,0.0,0,0,0.1,0,-nan,0.1,0,40412,480474,-nan,0,41,0.0,0,0
3,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,126,-nan,0,0,-nan,-nan,0,0,0,0,0,0,188,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2084,0,-nan,0,0,0.0,0,0
4,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,154,0.0,0,0,0.0,100.0,0,0,0,0,8560,0,256,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2587,93645,-nan,0,1,0.0,0,0
5,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,1960,0.0,0,0,0.1,99.9,0,0,0,0,40223,0,1943,0,0,0.0,0,0,0.1,0,-nan,0.1,0,30829,339509,-nan,0,8,0.0,0,0
6,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,905,0.0,0,0,0.0,100.0,0,0,0,0,1165,0,480,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14189,135781,-nan,0,1,0.0,0,0
7,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,589,0.0,0,0,0.0,100.0,0,0,0,0,10985,0,1047,0,0,0.0,0,0,0.0,0,-nan,0.0,0,10613,64151,-nan,0,1,0.0,0,0
8,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,1301,0.0,0,0,0.0,100.0,0,0,0,0,19160,0,1340,0,0,0.0,0,0,0.0,0,-nan,0.0,0,19313,242962,-nan,0,3,0.0,0,0
9,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,1832,0.0,0,0,0.0,100.0,0,0,0,0,21860,0,1252,0,0,0.0,0,0,0.1,0,-nan,0.0,0,19442,237925,-nan,0,3,0.0,0,0
10,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,1650,0.0,0,0,0.2,99.8,0,0,0,0,35157,0,2278,0,0,0.0,0,0,0.1,0,-nan,0.1,0,26317,283454,-nan,0,37,0.0,0,0
11,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,3114,0.0,0,0,0.1,99.9,0,0,0,0,37939,0,4187,0,0,0.0,0,0,0.1,0,-nan,0.1,0,42440,434000,-nan,0,178,0.0,0,0
12,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,1691,0.0,0,0,0.0,100.0,0,0,0,0,17356,0,1872,0,0,0.0,0,0,0.0,0,-nan,0.0,0,20836,248629,-nan,0,4,0.0,0,0
13,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,404,0.0,0,0,0.0,100.0,0,0,0,0,16343,0,257,0,0,0.0,0,0,0.0,0,-nan,0.0,0,5100,63996,-nan,0,4,0.0,0,0
14,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,1299,0.0,0,0,0.1,99.9,0,0,0,0,15878,0,1672,0,0,0.0,0,0,0.0,0,-nan,0.0,0,17074,175153,-nan,0,22,0.0,0,0
15,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,629,0.0,0,0,0.0,100.0,0,0,0,0,6781,0,1402,0,0,0.0,0,0,0.0,0,-nan,0.0,0,11245,132689,-nan,0,6,0.0,0,0
16,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,1292,0.0,0,0,0.0,100.0,0,0,0,0,24013,0,2241,0,0,0.0,0,0,0.0,0,-nan,0.0,0,20412,215675,-nan,0,27,0.0,0,0
17,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,1227,0.0,0,0,0.0,100.0,0,0,0,0,15682,0,2376,0,0,0.0,0,0,0.0,0,-nan,0.0,0,16051,168424,-nan,0,14,0.0,0,0
18,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,105,0.0,0,0,0.0,100.0,0,0,0,0,993,0,75,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2737,23622,-nan,0,1,0.0,0,0
19,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,898,0.0,0,0,0.0,100.0,0,0,0,0,18489,0,2021,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14213,156676,-nan,0,14,0.0,0,0
20,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,508,0.0,0,0,0.0,100.0,0,0,0,0,2193,0,647,0,0,0.0,0,0,0.0,0,-nan,0.0,0,4222,35702,-nan,0,2,0.0,0,0
21,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,643,0.0,0,0,0.0,100.0,0,0,0,0,9891,0,1360,0,0,0.0,0,0,0.0,0,-nan,0.0,0,9369,104659,-nan,0,13,0.0,0,0
22,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,373,0.0,0,0,0.0,100.0,0,0,0,0,3015,0,707,0,0,0.0,0,0,0.0,0,-nan,0.0,0,4159,47910,-nan,0,2,0.0,0,0
23,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,580,0.0,0,0,0.0,100.0,0,0,0,0,9479,0,1216,0,0,0.0,0,0,0.0,0,-nan,0.0,0,7671,84169,-nan,0,7,0.0,0,0
24,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,725,0.0,0,0,0.0,100.0,0,0,0,0,12023,0,1925,0,0,0.0,0,0,0.0,0,-nan,0.0,0,10931,125770,-nan,0,47730,0.0,0,0
25,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,750,0.0,0,0,0.0,100.0,0,0,0,0,8529,0,1664,0,0,0.0,0,0,0.0,0,-nan,0.0,0,10570,113503,-nan,0,11,0.0,0,0
26,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,160,0.0,0,0,0.0,100.0,0,0,0,0,1740,0,312,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1916,23251,-nan,0,1,0.0,0,0
27,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,700,0.0,0,0,0.0,100.0,0,0,0,0,10323,0,1267,0,0,0.0,0,0,0.0,0,-nan,0.0,0,8563,89088,-nan,0,10,0.0,0,0
28,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,421,0.0,0,0,0.0,100.0,0,0,0,0,5966,0,968,0,0,0.0,0,0,0.0,0,-nan,0.0,0,6243,70421,-nan,0,8,0.0,0,0
29,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,238,0.0,0,0,0.0,100.0,0,0,0,0,3425,0,559,0,0,0.0,0,0,0.0,0,-nan,0.0,0,3851,40672,-nan,0,4,0.0,0,0
30,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,528,0.0,0,0,0.0,100.0,0,0,0,0,6040,0,1145,0,0,0.0,0,0,0.0,0,-nan,0.0,0,7197,81004,-nan,0,5,0.0,0,0
31,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,333,0.0,0,0,0.0,100.0,0,0,0,0,5157,0,882,0,0,0.0,0,0,0.0,0,-nan,0.0,0,5105,50641,-nan,0,7,0.0,0,0
32,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,501,0.0,0,0,0.0,100.0,0,0,0,0,8035,0,874,0,0,0.0,0,0,0.0,0,-nan,0.0,0,5467,64725,-nan,0,7,0.0,0,0
33,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,429,0.0,0,0,0.0,100.0,0,0,0,0,4836,0,1207,0,0,0.0,0,0,0.0,0,-nan,0.0,0,6078,61712,-nan,0,18,0.0,0,0
34,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,169,0.0,0,0,0.0,100.0,0,0,0,0,2483,0,299,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2237,29155,-nan,0,4,0.0,0,0
35,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,295,0.0,0,0,0.0,100.0,0,0,0,0,2324,0,703,0,0,0.0,0,0,0.0,0,-nan,0.0,0,3906,37667,-nan,0,3,0.0,0,0
36,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,111,0.0,0,0,0.0,100.0,0,0,0,0,2042,0,372,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2158,27495,-nan,0,1,0.0,0,0
37,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,551,0.0,0,0,0.0,100.0,0,0,0,0,10204,0,1403,0,0,0.0,0,0,0.0,0,-nan,0.0,0,7752,86424,-nan,0,24,0.0,0,0
38,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,416,0.0,0,0,0.0,100.0,0,0,0,0,5617,0,1105,0,0,0.0,0,0,0.0,0,-nan,0.0,0,5951,62570,-nan,0,8,0.0,0,0
39,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,387,0.0,0,0,0.0,100.0,0,0,0,0,4129,0,888,0,0,0.0,0,0,0.0,0,-nan,0.0,0,4639,55208,-nan,0,80305,0.0,0,0
40,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,421,0.0,0,0,0.0,100.0,0,0,0,0,4749,0,822,0,0,0.0,0,0,0.0,0,-nan,0.0,0,4804,51631,-nan,0,9,0.0,0,0
41,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,299,0.0,0,0,0.0,100.0,0,0,0,0,3215,0,678,0,0,0.0,0,0,0.0,0,-nan,0.0,0,4150,45889,-nan,0,3,0.0,0,0
42,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
43,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,438,0.0,0,0,0.0,100.0,0,0,0,0,4895,0,524,0,0,0.0,0,0,0.0,0,-nan,0.0,0,4502,50640,-nan,0,5,0.0,0,0
44,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,205,0.0,0,0,0.0,100.0,0,0,0,0,3582,0,504,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2809,30306,-nan,0,4,0.0,0,0
45,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,356,0.0,0,0,0.0,100.0,0,0,0,0,4982,0,737,0,0,0.0,0,0,0.0,0,-nan,0.0,0,4482,49459,-nan,0,6,0.0,0,0
46,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,330,0.0,0,0,0.0,100.0,0,0,0,0,5147,0,994,0,0,0.0,0,0,0.0,0,-nan,0.0,0,5070,57258,-nan,0,7,0.0,0,0
47,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,38,0.0,0,0,0.0,100.0,0,0,0,0,497,0,230,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1017,7843,-nan,0,1,0.0,0,0
48,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,203,0.0,0,0,0.0,100.0,0,0,0,0,2817,0,597,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2803,35068,-nan,0,6,0.0,0,0
49,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,165,0.0,0,0,0.0,100.0,0,0,0,0,2481,0,429,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2161,24359,-nan,0,3,0.0,0,0
50,6162824087970043652,0,0,0,0,0,0,0,0,0,0,0,284,0.0,0,0,0.0,100.0,0,0,0,0,4335,0,738,0,0,0.0,0,0,0.0,0,-nan,0.0,0,3979,43281,-nan,0,5,0.0,0,0
